Event_id,Sport,Event
128,Canoeing,"Canoeing Men's Kayak Singles, Slalom"
129,Sailing,Sailing Mixed One Person Dinghy
130,Sailing,Sailing Men's One Person Dinghy
131,Sailing,Sailing Men's One Person Heavyweight Dinghy
132,Sailing,Sailing Mixed 5.5 metres
133,Tennis,"Tennis Mixed Doubles, Covered Courts"
134,Cycling,Cycling Men's Madison
135,Rugby,Rugby Men's Rugby
136,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres"
137,Athletics,Athletics Women's Long Jump
138,Canoeing,"Canoeing Men's Kayak Doubles, 10,000 metres"
139,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle"
140,Wrestling,"Wrestling Men's Heavyweight, Freestyle"
141,Athletics,Athletics Women's 4 x 100 metres Relay
142,Weightlifting,Weightlifting Men's Middle-Heavyweight
143,Weightlifting,Weightlifting Men's Heavyweight II
144,Fencing,"Fencing Women's Sabre, Team"
145,Sailing,Sailing Mixed Two Person Keelboat
146,Shooting,Shooting Men's Skeet
147,Shooting,Shooting Men's Double Trap
148,Shooting,Shooting Men's Trap
149,Equestrianism,"Equestrianism Mixed Jumping, Individual"
150,Sailing,Sailing Women's Windsurfer
151,Tennis,Tennis Men's Doubles
152,Weightlifting,Weightlifting Men's Super-Heavyweight
153,Sailing,Sailing Mixed 1-2 Ton
154,Wrestling,"Wrestling Men's Lightweight, Greco-Roman"
155,Rowing,Rowing Men's Coxed Fours
156,Athletics,Athletics Men's High Jump
157,Cycling,Cycling Men's 50 kilometres
158,Sailing,Sailing Women's Two Person Dinghy
159,Athletics,Athletics Men's Discus Throw
160,Rowing,Rowing Women's Double Sculls
161,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman"
162,Diving,Diving Women's Platform
163,Lacrosse,Lacrosse Men's Lacrosse
164,Synchronized Swimming,Synchronized Swimming Women's Team
165,Judo,Judo Men's Half-Lightweight
166,Wrestling,"Wrestling Men's Light-Flyweight, Greco-Roman"
167,Shooting,"Shooting Men's Air Rifle, 10 metres"
168,Taekwondo,Taekwondo Men's Heavyweight
169,Sailing,Sailing Mixed 12 metres
170,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual"
171,Athletics,Athletics Women's 100 metres Hurdles
172,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres"
173,Gymnastics,Gymnastics Men's Rope Climbing
174,Archery,"Archery Men's Target Archery, 28 metres, Team"
175,Archery,"Archery Men's Target Archery, 33 metres, Team"
176,Archery,"Archery Men's Target Archery, 50 metres, Team"
177,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres"
178,Triathlon,Triathlon Women's Olympic Distance
179,Polo,Polo Men's Polo
180,Modern Pentathlon,Modern Pentathlon Women's Individual
181,Rowing,"Rowing Men's Coxed Fours, Inriggers"
182,Equestrianism,"Equestrianism Mixed Three-Day Event, Team"
183,Athletics,"Athletics Men's Cross-Country, Team"
184,Sailing,Sailing Mixed 40 metres
185,Boxing,Boxing Men's Flyweight
186,Swimming,Swimming Women's 50 metres Freestyle
187,Swimming,Swimming Women's 100 metres Freestyle
188,Rowing,Rowing Women's Coxless Pairs
